0.098250,2.06546
0.200470,2.06556
0.301828,2.06574
0.401176,2.06586
0.501420,2.06597
0.605930,2.06613
0.705497,2.06618
0.800504,2.06621
0.908550,2.06653
1.001975,2.06658
1.100696,2.06651
1.199417,2.06653
1.303550,2.06669
1.399472,2.07234
1.501837,2.16684
1.524637,2.22
1.549955,2.36
1.575167,2.75
1.599163,3.51
1.625073,3.86
1.650168,3.96
1.675966,4.03
1.699060,4.07
1.725735,4.09
1.750237,4.104
1.776584,4.1163
1.796974,4.1118
1.824852,4.114369
1.850444,4.11383
1.874804,4.11538
1.900356,4.11539
2.00,4.11564
2.1,4.11607
2.2,4.11604
2.3,4.11642
2.4,4.11563
2.5,4.11558
2.6,4.11563
2.7,4.11576
2.8,4.12031
2.90143,4.633
3.00171,5.08
3.09950,4.60
3.11788,3.97
3.13652,2.14
3.14686,-0.2
3.15452,-1.80
3.17383,-3.88
3.19993,-4.71
3.21238,-5.03
3.30761,-5.53




